lahmanID,FirstName,LastName,RetrosheetID,batAve2006Sorted,PA
vazquja01,Javier,Vazquez,vazqj001,1.0,2.0
howrybo01,Bob,Howry,howrb001,1.0,1.0
muntesc01,Scott,Munter,munts001,1.0,1.0
hughetr01,Travis,Hughes,hught001,1.0,1.0
ohmanwi01,Will,Ohman,ohmaw001,1.0,1.0
chenbr01,Bruce,Chen,chenb001,1.0,1.0
linebsc01,Scott,Linebrink,lines001,1.0,1.0
kleskry01,Ryan,Klesko,klesr001,0.75,6.0
diazei01,Einar,Diaz,diaze002,0.667,3.0
navaros01,Oswaldo,Navarro,navao001,0.667,4.0
stulter01,Eric,Stults,stule002,0.6,6.0
ariasjo01,Joaquin,Arias,ariaj001,0.545,12.0
staufti01,Tim,Stauffer,staut001,0.5,2.0
westbja01,Jake,Westbrook,westj001,0.5,5.0
woodke02,Kerry,Wood,woodk002,0.5,6.0
schilcu01,Curt,Schilling,schic002,0.5,2.0
wainwad01,Adam,Wainwright,waina001,0.5,6.0
thompbr01,Brad,Thompson,thomb002,0.5,2.0
loopebr01,Braden,Looper,loopb001,0.5,2.0
kimsu01,Sun-Woo,Kim,kim-s001,0.5,2.0
perezbe01,Beltran,Perez,pereb001,0.5,7.0
garcijo01,Jose,Garcia,garcj003,0.5,2.0
hammoro01,Robby,Hammock,hammr001,0.5,2.0
ramirra02,Ramon,Ramirez,ramir003,0.5,5.0
woodja02,Jason,Wood,woodj001,0.462,14.0
lewisfr02,Fred,Lewis,lewif001,0.455,11.0
youmash01,Shane,Youman,youms001,0.429,7.0
santoch01,Chad,Santos,santc001,0.429,8.0
beckejo02,Josh,Beckett,beckj002,0.429,7.0
reeseke01,Kevin,Reese,reesk001,0.417,14.0
hoovepa01,Paul,Hoover,hoovp001,0.4,5.0
hairssc01,Scott,Hairston,hairs001,0.4,16.0
shielja02,James,Shields,shiej002,0.375,8.0
morsemi01,Mike,Morse,morsm001,0.372,48.0
dobbsgr01,Greg,Dobbs,dobbg001,0.37,28.0
bakerje03,Jeff,Baker,bakej001,0.368,58.0
lindad01,Adam,Lind,linda001,0.367,65.0
hoppeno01,Norris,Hopper,hoppn001,0.359,47.0
escobal01,Alex,Escobar,escoa002,0.356,99.0
mauerjo01,Joe,Mauer,mauej001,0.347,608.0
sanchfr01,Freddy,Sanchez,sancf001,0.344,632.0
jeterde01,Derek,Jeter,jeted001,0.343,715.0
canoro01,Robinson,Cano,canor001,0.342,508.0
redmomi01,Mike,Redmond,redmm001,0.341,190.0
gomezch02,Chris,Gomez,gomec001,0.341,142.0
cabremi01,Miguel,Cabrera,cabrm001,0.339,676.0
scottlu01,Luke,Scott,scotl001,0.336,249.0
taubety01,Ty,Taubenheim,taubt001,0.333,3.0
silvaca01,Carlos,Silva,silvc001,0.333,3.0
wagnery01,Ryan,Wagner,wagnr001,0.333,3.0
vogelry01,Ryan,Vogelsong,voger001,0.333,5.0
jimenub01,Ubaldo,Jimenez,jimeu001,0.333,3.0
jimerch01,Charlton,Jimerson,jimec001,0.333,6.0
mccanbr01,Brian,McCann,mccab002,0.333,492.0
hattijo01,John,Hattig,hattj001,0.333,29.0
clemema01,Matt,Clement,clemm001,0.333,3.0
bardjo01,Josh,Bard,bardj001,0.333,284.0
duckwbr01,Brandon,Duckworth,duckb001,0.333,4.0
owensje01,Jerry,Owens,owenj002,0.333,9.0
bannibr01,Brian,Bannister,bannb001,0.333,13.0
elartsc01,Scott,Elarton,elars001,0.333,4.0
quinthu01,Humberto,Quintero,quinh001,0.333,22.0
ortizru01,Russ,Ortiz,ortir001,0.333,9.0
custja01,Jack,Cust,custj001,0.333,3.0
pujolal01,Albert,Pujols,pujoa001,0.331,634.0
tejadmi01,Miguel,Tejada,tejam001,0.33,709.0
atkinga01,Garrett,Atkins,atkig001,0.329,695.0
helmswe01,Wes,Helms,helmw001,0.329,278.0
guerrvl01,Vladimir,Guerrero,guerv001,0.329,665.0
theriry01,Ryan,Theriot,therr001,0.328,159.0
